tool_id	name	description	panel_section_id	panel_section_name
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate/1.0.1	ABRicate	Mass screening of contigs for antimicrobial and virulence genes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate_list/1.0.1	ABRicate List	List all of abricate's available databases.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate_summary/1.0.1	ABRicate Summary	Combine ABRicate results into a simple matrix of gene presence/absence	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_canongff3/aegean_canongff3/0.16.0+galaxy1	AEGeAn CanonGFF3	pre-process GFF3 files, removing all features not directly related to protein-coding genes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_gaeval/aegean_gaeval/0.16.0+galaxy1	AEGeAn GAEVAL	compute coverage and integrity scores for gene models using transcript alignments.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_locuspocus/aegean_locuspocus/0.16.0+galaxy1	AEGeAn LocusPocus	calculate locus coordinates for the given gene annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_parseval/aegean_parseval/0.16.0+galaxy1	AEGeAn ParsEval	compare two sets of gene annotations for the same sequence.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/agat/agat/1.4.0+galaxy1	AGAT	GTF/GFF analysis toolkit	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/amrfinderplus/amrfinderplus/3.12.8+galaxy0	AMRFinderPlus	NCBI Antimicrobial Resistance Gene Finder	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/devteam/dgidb_annotator/dgidb_annotate/0.1	Annotate with DGI	database info	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/devteam/dgidb_annotator/dgidb_annotator/0.1	Annotate with DGI	database info	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_annotation_table/edu.tamu.cpt2.phage.annotation_table/20.0.0.1	Annotation Table	from gff3 formatted datasets	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/antismash/antismash/6.1.1+galaxy1	Antismash	allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/augustus/augustus/3.5.0+galaxy0	Augustus	gene prediction for prokaryotic and eukaryotic genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/genouest/braker3/braker3/3.0.8+galaxy2	BRAKER3	genome annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/bakta/bakta/1.9.4+galaxy1	Bakta	Rapid and standardized annotation of bacterial genomes, MAGs and plasmids	annotation	Annotation
