tool_id	name	description	panel_section_id	panel_section_name
toolshed.g2.bx.psu.edu/repos/ecology/vigiechiro_bilanenrichipf/vigiechiro_bilanenrichipf/0.1.1	Advanced restitution: 'Point fixe' protocol	from Animal Detection on Acoustic Recordings	animal_detection_on_acoustic_recordings	Animal Detection on Acoustic Recordings
toolshed.g2.bx.psu.edu/repos/ecology/vigiechiro_bilanenrichirp/vigiechiro_bilanenrichirp/0.1.1	Advanced restitution: 'Routier'or 'Pedestre' protocols	from Animal Detection on Acoustic Recordings	animal_detection_on_acoustic_recordings	Animal Detection on Acoustic Recordings
toolshed.g2.bx.psu.edu/repos/ecology/spocc_occ/spocc_occ/0.9.0	Get species occurrences data	from GBIF, ALA, iNAT and others	animal_detection_on_acoustic_recordings	Animal Detection on Acoustic Recordings
toolshed.g2.bx.psu.edu/repos/ecology/vigiechiro_idcorrect_2ndlayer/vigiechiro_idcorrect_2ndlayer/0.1.1	Tadarida data cleaner	clean data from animal detection on acoustic recordings	animal_detection_on_acoustic_recordings	Animal Detection on Acoustic Recordings
toolshed.g2.bx.psu.edu/repos/ecology/vigiechiro_idvalid/vigiechiro_idvalid/0.1.1	Tadarida identifications validation	Integrate identifications from animal detection on acoustic recordings	animal_detection_on_acoustic_recordings	Animal Detection on Acoustic Recordings
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate/1.0.1	ABRicate	Mass screening of contigs for antimicrobial and virulence genes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate_list/1.0.1	ABRicate List	List all of abricate's available databases.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate_summary/1.0.1	ABRicate Summary	Combine ABRicate results into a simple matrix of gene presence/absence	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_canongff3/aegean_canongff3/0.16.0+galaxy1	AEGeAn CanonGFF3	pre-process GFF3 files, removing all features not directly related to protein-coding genes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_gaeval/aegean_gaeval/0.16.0+galaxy1	AEGeAn GAEVAL	compute coverage and integrity scores for gene models using transcript alignments.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_locuspocus/aegean_locuspocus/0.16.0+galaxy1	AEGeAn LocusPocus	calculate locus coordinates for the given gene annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_parseval/aegean_parseval/0.16.0+galaxy1	AEGeAn ParsEval	compare two sets of gene annotations for the same sequence.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/agat/agat/1.4.0+galaxy1	AGAT	GTF/GFF analysis toolkit	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/amrfinderplus/amrfinderplus/3.12.8+galaxy0	AMRFinderPlus	NCBI Antimicrobial Resistance Gene Finder	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/devteam/dgidb_annotator/dgidb_annotate/0.1	Annotate with DGI	database info	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/devteam/dgidb_annotator/dgidb_annotator/0.1	Annotate with DGI	database info	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/cpt/cpt_annotation_table/edu.tamu.cpt2.phage.annotation_table/20.0.0.1	Annotation Table	from gff3 formatted datasets	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/antismash/antismash/6.1.1+galaxy1	Antismash	allows the genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/augustus/augustus/3.5.0+galaxy0	Augustus	gene prediction for prokaryotic and eukaryotic genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/genouest/braker3/braker3/3.0.8+galaxy2	BRAKER3	genome annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/bakta/bakta/1.9.4+galaxy1	Bakta	Rapid and standardized annotation of bacterial genomes, MAGs and plasmids	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/blastxml_to_gapped_gff3/blastxml_to_gapped_gff3/1.1	BlastXML to gapped GFF3		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/genouest/braker/braker/2.1.6+galaxy0	Braker genome annotation		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/gga/genenotebook_genenotebook_build/genenotebook_build/0.4.18+galaxy1	Build a GeneNoteBook		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.8.0+galaxy2	Busco	Assess genome assembly and annotation completeness	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/cpat/cpat/3.0.5+galaxy1	CPAT	coding potential assessment	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/picrust_categorize/picrust_categorize/1.1.1.0	Categorize	by collapsing hierarchical data to a specified functional level	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/rnateam/chipseeker/chipseeker/1.28.3+galaxy0	ChIPseeker	for ChIP peak annotation and visualization	annotation	Annotation
